客户ID,客服ID,消息内容,发送方,发送时间,对话ID,session_abs,session_tag
wmFS0DDgAAEJXr6ga3RFr-69yQxHiUIw,17308401160,30,1,2023/8/16 15:19,1,,
wmFS0DDgAAEJXr6ga3RFr-69yQxHiUIw,17308401160,亲亲您好，很高兴为您服务，请问有什么可以帮您,0,2023/8/16 15:21,1,,
wmFS0DDgAAEJXr6ga3RFr-69yQxHiUIw,17308401160,30,1,2023/8/16 15:21,1,,
wmFS0DDgAAEJXr6ga3RFr-69yQxHiUIw,17308401160,您好,0,2023/8/16 15:23,1,,
wmFS0DDgAA7wCFzc2mA-Dr3O6UljBCzw,17308401160,"【停机小贴士】亲亲您是不是忘记了什么呀，悄悄提醒一下，您的号码已经欠费停机啦，现在已经不能拨打和接听电话了哦！
方便的话可以麻烦动动小手缴一下欠费，立即充值请点击：t.hn.189.cn/ltcz  复机后可以联系客服领取神秘礼物，使用中有任何问题也可以发给我哦
（如您已复机，请忽略本次提醒，很抱歉打扰到您）",0,2023/8/20 16:05,2,,
wmFS0DDgAA7wCFzc2mA-Dr3O6UljBCzw,17308401160,"【停机小小小提醒】尊嘟假嘟（吃惊）！亲亲您的号码已经欠费停机好几天啦！！！现在已经不能拨打和接听电话了哦！！
可得赶快缴清欠费，不然影响使用就不好了哦~立即充值请点击：t.hn.189.cn/ltcz  复机后可以联系客服领取神秘礼物，使用中有任何问题也可以发给我哦
（如您已复机，请忽略本次提醒，抱一丝，很抱歉打扰到您）",0,2023/8/21 11:31,2,,
wmFS0DDgAA7wCFzc2mA-Dr3O6UljBCzw,17308401160,"【停机大大大提醒】emo了，亲亲，咱之前给您发信息，一直没有收到您的回复留言，唉
是什么问题没有使用呢，啥问题都可以讲出来呀，客服也要听从您的意见建议才能改变进步，也是为了更好的服务您。
充值点击链接：t.hn.189.cn/ltcz，复机成功后可以联系客服领取神秘礼物噢
（如您已复机，请忽略本次提醒，抱一丝，很抱歉打扰到您）",0,2023/8/22 12:36,2,,
wmFS0DDgAA7wCFzc2mA-Dr3O6UljBCzw,17308401160,换号了,1,2023/8/22 12:36,2,,
wmFS0DDgAA7wCFzc2mA-Dr3O6UljBCzw,17308401160,请问这个号码是什么原因不使用了呢,0,2023/8/22 12:37,2,,
wmFS0DDgAA7wCFzc2mA-Dr3O6UljBCzw,17308401160,流量太少,1,2023/8/22 13:00,2,,
wmFS0DDgAA7wCFzc2mA-Dr3O6UljBCzw,17308401160,19330657523亲亲，您继续使用客服申请赠送您240GB通用流量，每月赠送20GB，连续赠送12个月，您看可以吗,0,2023/8/22 13:07,2,,
wmFS0DDgAA7wCFzc2mA-Dr3O6UljBCzw,17308401160,已经换卡了，也是你们湖南的电信卡，一样的,1,2023/8/22 13:15,2,,
wmFS0DDgAA7wCFzc2mA-Dr3O6UljBCzw,17308401160,亲亲，这么划算的号卡也可以给家人使用哦,0,2023/8/22 13:18,2,,
wmFS0DDgAA7wCFzc2mA-Dr3O6UljBCzw,17308401160,查询您的号码每个月赠送的10元话费，月租只需要9元哦，,0,2023/8/22 13:18,2,,
wmFS0DDgAA7wCFzc2mA-Dr3O6UljBCzw,17308401160,查询我哪个卡啊,1,2023/8/22 13:19,2,,
wmFS0DDgAA7wCFzc2mA-Dr3O6UljBCzw,17308401160,能查到我另一个卡号吗？,1,2023/8/22 13:19,2,,
wmFS0DDgAA7wCFzc2mA-Dr3O6UljBCzw,17308401160,亲亲您好，麻烦提供一下手机号码+姓名+身份证后6位数，客服这边帮您查询一下哦，谢谢！,0,2023/8/22 13:32,2,,
wmFS0DDgAA7wCFzc2mA-Dr3O6UljBCzw,17308401160,记不起新号,1,2023/8/22 13:42,2,,
wmFS0DDgAA7wCFzc2mA-Dr3O6UljBCzw,17308401160,亲亲您好，如您不记得自己的号码，需要查询身份证名下在湖南电信办理的手机号码明细： 可本人持身份证原件进入湖南电信远程柜台进行查询，人证比对通过后可提供号码办理详情查询（进入路径：关注微信公众号“湖南电信”，对话框输入“号卡查询”点击即可进入）,0,2023/8/22 13:51,2,用户换号后流量太少，希望查询新卡号,服务咨询
wmFS0DDgAACV383LirhB6vK3Lncj1gBg,17308401160,w,0,2023/12/7 11:12,3,,
wmFS0DDgAACV383LirhB6vK3Lncj1gBg,17308401160,【名下号卡欠费提醒】【抹除欠费机会来了！】亲亲，您名下有一张湖南电信号卡已经很久未使用了。告诉您一个好消息，关注到您是我们的优质用户，目前充值恢复使用的话： 1、免费赠送流量/会员/语音 2、欠费金额也可以抹除哦！！！（最高80元！） 3、话费充值9.95折优惠 快回复客服给您发送9.95折充值链接吧！！,0,2023/12/8 12:59,3,,
wmFS0DDgAAossFc_Lg-IG5WBvUZGpUoQ,17308401160,【活跃提醒】【中国电信送您96G专属流量补贴啦！】亲亲，您的电信号码信用良好，现可免费领取96G流量哦（分24个月每月4G赠送），点击  https://flow.hn.189.cn/hnfx/hkly/autos?clientid=WXHL77 ，使用您的互联网卡号码登录“互联网卡专区-福利领取”进行确认，限本月领取有效，期待您的参与！不清楚参与活动号码及详情可以咨询客服哦！,0,2023/11/29 17:35,4,,
wmFS0DDgAAy22MidMT1s93VFkKw3TfCA,17308401160,"亲亲之前给您发信息，怎么不搭理我呢[大哭]
咱不是群发，超级大礼一直给您保留着呢，立即充值请点击：t.hn.189.cn/ltcz
有啥问题也都可以联系 小桃子 解答处理
（如您已复机，请忽略本次提醒，很抱歉打扰到您）",0,2023/5/14 10:08,5,,
wmFS0DDgAAy22MidMT1s93VFkKw3TfCA,17308401160,15318380684,1,2023/8/31 13:21,5,,
wmFS0DDgAAy22MidMT1s93VFkKw3TfCA,17308401160,亲亲您好，这边是湖南电信，您提供的这个号码查询不到记录哦,0,2023/8/31 13:37,5,,
wmFS0DDgAAy22MidMT1s93VFkKw3TfCA,17308401160,亲亲您好，麻烦提供一下湖南电信的手机号码+姓名+身份证后6位数，客服这边帮您查询一下哦，谢谢！,0,2023/8/31 13:37,5,用户询问关于套餐的问题,服务咨询
wmFS0DDgAAW3ES_13qGQTexulcna5hHQ,17308401160,"【停机二次提醒】尊敬的用户，您好，您的号码已欠费超过七天，已无法接听电话，请核实后尽快充值！ 

1、复机后可以联系客服领取神秘礼物（流量/会员/语音） 
2、话费充值9.95折优惠 

快回复客服给您发送9.95折充值链接吧！！有任何问题也可发消息给我们，感谢您对电信业务的支持。 

（如您已复机，请忽略本次提醒，很抱歉打扰到您）",0,2023/12/10 10:45,6,,
wmFS0DDgAAW3ES_13qGQTexulcna5hHQ,17308401160,"【停机三次提醒】尊敬的用户，您好，您的号码已欠费超过七天，已无法接听电话，请核实后尽快充值！ 

1、复机后可以联系客服领取神秘礼物（流量/会员/语音） 
2、话费充值9.95折优惠 

快回复客服给您发送9.95折充值链接吧！！有任何问题也可发消息给我们，感谢您对电信业务的支持。 

（如您已复机，请忽略本次提醒，很抱歉打扰到您）",0,2023/12/11 15:26,6,,
